school id,school type,alevel math,olevel math,chem,phy,bio,english,ap course,cs ig,adv math,international student,transferred courses,major,specialization,cgpa,credit hours completed
WSD,IG,0,100,65,85,0,75,0,0,0,0,0,CS,CS,2.05,35
MLS,American,0,96,100,0,92,92,0,1,0,0,0,BUS,ENTS,3.77,45
ISCS,American,0,84,0,0,0,93,0,0,0,0,0,BUS,ENTS,3.35,36
MES,IG,0,75,65,0,0,65,0,0,0,0,0,BUS,ENTS,2.75,33
ISCS,American,0,93,,94,,89,0,0,0,0,5,BUS,ENTS,4.3,45
RIS,American,0,72,81,92,94,88,0,0,0,0,0,BUS,ENTS,3.34,45
HHS,American,0,75,65,0,65,70,0,0,0,0,0,BUS,ENTS,2.62,36
GEMS,IG,0,100,85,100,85,75,0,0,0,0,0,ENG,SDE,3.89,39
NIS,American,88,84,81,0,77,81,0,0,1,0,0,BUS,ENTS,2.13,33
RIS,American,0,100,96,97,98,100,0,0,0,0,13,CS,CS,3.42,97
NIS,American,86,70,80,0,76,82,0,0,1,0,0,BUS,ENTS,1.84,30
QLS,American,90,97,94,0,93,97,0,0,1,0,0,BUS,ENTS,3.73,33
FAS,American,95,89,91,0,95,95,0,0,1,0,0,BUS,ENTS,3.2,30
GPIS,American,0,82,78,78,0,86,0,0,0,0,0,BUS,ENTS,2,33
MRIS,IG,0,100,100,100,100,100,0,1,0,0,0,BUS,FINC,4.3,48
DAIS,American,88,79,88,0,79,94,0,0,1,0,0,BUS,ENTS,3.3,33
DAIS,American,92,88,83,0,83,94,0,0,1,0,0,BUS,ENTS,3.45,36
DAIS,American,77,88,84,74,81,90,0,0,1,0,0,BUS,BUS,1.37,36
DAIS,American,93,91,90,0,82,92,0,0,1,0,0,BUS,ENTS,3.59,42
DAIS,American,77,88,87,0,73,91,0,0,1,1,0,BUS,ENTS,1.9,33
GPIS,American,0,94,70,77,65,79,0,0,0,0,0,BUS ,BUS,2.29,36
MC,American,100,100,100,100,100,100,0,0,1,0,0,CS,CS,1.75,35
ISG,American,0,80,80,0,91,97,0,0,0,0,0,BUS ,ENTS,2.3,48
RIS,IG,0,75,0,100,100,100,0,1,0,0,0,BUS ,ENTS,3.83,45
RIS,IG,0,100,100,100,100,100,0,0,0,0,0,BUS ,ENTS,4.3,48
ISG,American,0,65,90,75,55,65,0,0,0,0,0,BUS ,ENTS,3.2,45
ESB,American,96,85,99,99,99,98,0,1,1,0,1,BUS ,ENTS,2.4,30
GAI,Canadian,0,95,86,85,95,91,0,0,0,0,0,BUS ,MKTG,3.34,45
MAS,American,99,84,98,99,73,97,0,0,1,0,0,BUS ,ENTS,2.3,30
NHIS,IG,65,85,75,75,85,75,0,1,1,0,0,CS,CS,3,49
AISC,American,0,87,90,87,0,80,0,0,0,0,0,CS,CS,3.4,46
BCCIS,American,92,53,76,0,0,80,0,0,1,1,0,BUS ,BUS,2.3,30
BRS,IG,0,70,70,0,55,85,0,0,0,0,0,BUS ,BUS,3.6,33
ELS,IG,0,100,100,85,0,85,0,1,0,0,0,CS,CS,2.7,41
DAIS,American,98,96,93,0,92,97,0,0,1,0,0,BUS ,ENTS,3.9,48
DAIS,American,96,94,89,0,81,94,0,0,1,0,0,BUS ,MKTG,3.2,45
NG,American,0,92,77,0,87,97,0,0,0,0,0,BUS ,MKTG,2.6,45
MHS,American,0,100,99,0,73,92,0,1,0,0,0,BUS ,FINC,3.5,45
QLS,American,66,71,91.5,0,0,93,0,0,0,0,0,BUS ,ENTS,2.9,30
SIS,IG,0,85,75,70,0,75,0,1,0,0,0,BUS ,ENTS,3.4,30
CSF,French Bacc,,,,,,,,,,,,CS,CS,,
KIS,American,100,93,95.5,100,98,99,0,0,1,0,0,CS,CS,3.6,36
MASE,American,83,73,83,89,90,95,0,0,1,0,0,BUS ,FINC,3.3,48
MES,American,0,84,91,87,98,93,0,1,0,0,0,BUS ,ENTS,4.2,45
CISE,Canadian,0,100,86,0,98,92,0,0,0,0,0,BUS ,FINC,4.3,45
CMIS,American,98,94,81,89,92,95,0,0,1,0,0,BUS ,ENTS,4.1,33
RAD,American,97,94,0,0,90,98,0,0,1,0,0,BUS ,ENTS,3.5,33
CMIS,American,95,97,97,0,97,99,0,0,1,0,0,BUS ,MGMT,3.7,45
BCCIS,Canadian,90,91,50,0,0,84,0,0,1,0,0,BUS ,ENTS,2.6,36
CES,IG,0,55,65,75,65,75,0,1,0,0,0,BUS ,FINC,3.3,48
HIDS,American,0,85,88,97,80,89,0,0,0,1,0,CS,CS,1.8,32
STGC,IG,0,65,65,75,0,75,0,1,0,1,0,ENG ,SDE,2.7,51
MNS,IG,0,85,45,55,70,65,0,0,0,0,0,BUS ,BUS,2.5,42
AISG,American,76,69,69,69,66,75,0,0,1,1,0,BUS ,MKTG,1.7,39
NWIS,IG,0,65,0,75,75,75,0,0,0,0,0,BUS ,MKTG,2.7,57
IIS,American,0,85,70,70,0,100,0,0,0,1,0,BUS ,MKTG,3,66
RIS,American,95,90,90,84,87,90,0,0,1,0,0,CS,CS,1.6,32
DET,IG,0,95,85,75,75,95,0,0,0,0,0,BUS ,BUS,3.5,78
SFS,Thanaweya,0,0,0,0,0,100,0,0,0,0,0,ENG ,SDE,2.7,45
EC,American,100,92,100,100,0,100,0,0,1,0,0,ENG ,SDE,2.6,46
GIS,American,99,96,98,99,0,99,0,0,1,0,0,CS,CS,2.8,55
GPIS,American,0,83,79,89,0,79,0,0,0,0,0,ENG ,SDE,2.4,41
AIS,American,92,0,86,86,79,72,0,0,1,1,0,BUS ,MKTG,2,39
MSE,American,91,90,88,88,87,93,0,0,1,0,0,ENG ,SDE,3,90
SFS,IG,65,85,100,85,65,85,0,1,1,0,0,ENG ,SDE,3,90
QLS,American,70,75,88,79,80,78,0,0,1,0,0,BUS ,BUS,1.7,42
BA,IG,55,85,85,75,75,65,0,0,1,0,2,BUS ,MKTG,3.2,93
CLS,Thanaweya,0,85,85,85,0,95,0,0,0,0,0,BUS ,BUS,2.7,102
DCS,IG,0,75,45,65,0,65,0,0,0,0,0,BUS ,BUS,2,60
NBA,IG,0,100,100,100,100,75,0,0,0,0,0,ENG ,SDE,3.7,66
CISE,Canadian,0,60,96,60,0,65,0,1,0,0,0,CS,CS,2,60
